pmt_id,payment_method_type,country,payment_method_type_name,pmt_type
484375bc-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Gas Natural Mexico [Barcode],mx_gasnaturalmexico_utilitybills
4962c770-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Maxcom [Barcode],mx_maxcom24_utilitybills
49745292-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Megacable [Barcode],mx_megacable2_utilitybills
4a291e47-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Sky,mx_sky_utilitybills
4b725a39-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Dish [Barcode],mx_dish_utilitybills
4b69f52a-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Cablevision Monterrey [Barcode],mx_cablevisionmonterrey_utilitybills
4b73fb2d-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Telmex,mx_telmex2_utilitybills
4c2a0d5a-d127-11e8-ad14-060fa91e3c30,ewallet,MX,Axtel [Barcode],mx_axtel_utilitybills
4c70c499-d127-11e8-ad14-060fa91e3c30,ewallet,MX,CFE,mx_cfe12_utilitybills
047fd8fd-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment JANASHAKTHI LIFE - J,lk_ezcash_jicl
5757b5b3-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment CEYLINCO GENERAL VIP,lk_ezcash_cvip
5757b582-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment SP-ARPICO_INSURANCE,lk_ezcash_ains
5757b4f9-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment LOLC Life Assurance,lk_ezcash_lola
5757b559-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment SANASA INSURANCE,lk_ezcash_sicl
0fe6f347-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Ceylinco Life,lk_ezcash_clin
5757b56c-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment SRI LANKA INSURANCE ,lk_ezcash_slil
f898b2c1-d1ec-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment WATER-FOR-LIFE,lk_ezcash_wfl
5757b534-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment AIA insurance lanka,lk_ezcash_aial
5757b549-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment ALLIANZ LIFE,lk_ezcash_azlf
fe4ffacd-d1ec-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Cooplife insurance,lk_ezcash_coopl
5757b599-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment AIA insuarance lanka,lk_ezcash_aiap
878452c9-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment SP-HOLTON_HOSPITAL,lk_ezcash_holt
87845232-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment UNION_ASSURANCE ,lk_ezcash_ualp
eccc3bc8-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment  NAMAL UDUGAMA FUND ,lk_ezcash_nama
e0ca81ac-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Dialog Mobile ,lk_ezcash_gsm
eccc3b32-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Sandeepani Com ,lk_ezcash_hu48
878452f9-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment HEMAS_SOUTHERN_HOSPI ,lk_ezcash_hema
eccc3c10-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment SP-HELPING CHILDREN ,lk_ezcash_hcsl
878452b4-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Nawaloka Hospitals,lk_ezcash_nh
878452e0-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment National cancer hospital,lk_ezcash_pets
eccc3be3-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment SL-Paediatricians ,lk_ezcash_lh
8784527f-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Asiri Diagnostic,lk_ezcash_adsl
eccc3b6a-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Colours Of Courage,lk_ezcash_coct
87845314-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment METHTHA_CENTRAL ,lk_ezcash_mttt
eccc3b55-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment BACK TO THE BIBLE,lk_ezcash_bttb
eccc3b1d-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment BUDDHIKA COMM,lk_ezcash_hu20
87845333-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Miracle health hospi,lk_ezcash_mhhp
5757b5ee-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment JANASHAKTHI INSURANC ,lk_ezcash_jicg
87845293-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Asiri hospitals,lk_ezcash_als
eccc3c31-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment eZCash Donate,lk_ezcash_don
eccc3b81-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Help Age,lk_ezcash_hasl
eccc3acf-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment BT STATIONARY,lk_ezcash_bts
eccc3b43-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment SANDEEPANI COMM,lk_ezcash_hu08
878452a2-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Amaya medical,lk_ezcash_amcl
5757b5cf-d1ed-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment CEYLINCO_HEALTH,lk_ezcash_chsl
e0ca8229-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Dialog HBB/CDMA,lk_ezcash_cdma
e0ca8214-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Dialog TV,lk_ezcash_dtv
e0ca8262-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Airtel Mobile,lk_ezcash_atel
968fcb28-d514-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Touch Parking ,lk_ezcash_nfcc
e0ca82af-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Lanka Bell,lk_ezcash_lkbel
e0ca8339-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Touch Reload,lk_ezcash_nfc
e0ca827a-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Dialog WIMAX,lk_ezcash_bb
e0ca824c-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Hutch Mobile,lk_ezcash_hutch
e0ca823a-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Etisalat Mobile,lk_ezcash_eti
